Site,Date,Transect No,Lat (Start),Long (Start),Lat (End),Long (End),TransLength,Investigators,Entered By,Checked By,Notes,Year,Species,Number of Individuals
Sea Palm,20210712,6,36.62953,121.92141,36.6297,121.92133,20,"PS, IH",EV,NA,NA,2021,H_rufescens,0
Sea Palm,20210712,5,36.62934,121.92155,36.62951,121.92147,20,"EC, ADT, LD",EV,NA,NA,2021,H_rufescens,0
Sea Palm,20210712,4,36.6288,121.92147,36.62897,121.9216,20,"DP, EV, KR",EV,NA,NA,2021,H_rufescens,0
Carmel Point,20210710,2,36.5441,121.93386,36.54395,121.93394,20,"EC, DP, PS",EV,NA,"Water covering transect, went from 10-12.5m and then 17-22m",2021,H_rufescens,0
Carmel Point,20210711,5,36.54359,121.93425,36.54346,121.93418,20,"EV, KR, DP",EV,NA,NA,2021,H_rufescens,12
Carmel Point,20210711,6,36.54421,121.93368,36.54408,121.93379,20,"PS,IH",LD,NA,NA,2021,H_rufescens,0
Carmel Point,20210714,4,36.54378,121.93433,36.54359,121.93419,20,"LD,ADT",LD,NA,NA,2021,H_rufescens,0
Carmel Point,201210710,3,36.54392,121.93395,36.54382,121.93414,20,"EV,ADT,LD",LD,NA,NA,2021,H_rufescens,0
Hopkins,20210723,1,36.62128,121.90355,36.62142,121.90365,20,"IH, PS",IH,NA,NA,2021,S_purpuratus,103
Hopkins,20210723,2,36.54352,121.93419,36.6213,121.90335,20,"DP, EV, EC",IH,NA,NA,2021,S_purpuratus,6
Hopkins,20210723,3,36.62126,121.9032,36.6214,121.90339,25,"AJH, KR, SZ",IH,NA,NA,2021,S_purpuratus,32
Hopkins,20210723,4,36.62126,121.90327,36.62138,121.90343,20,"AJH, KR, SZ",IH,NA,NA,2021,S_purpuratus,0
Hopkins,20210724,5,36.6215,121.90343,36.6216,121.90361,20,"KR, EV, ADT",IH,NA,NA,2021,S_purpuratus,109
Hopkins,20210724,6,36.62172,121.90352,36.62125,121.90372,20,"DP, IH, EC",IH,NA,NA,2021,S_purpuratus,291
Hopkins,20210724,7,36.62176,121.90339,36.62197,121.90342,20,"AJH, PS, LD",IH,NA,NA,2021,S_purpuratus,1777
Hopkins,20210724,8,36.62132,121.90369,36.62144,121.90384,20,"KR, EV, ADT",IH,NA,NA,2021,S_purpuratus,149
Cannery Row,20210626,1,36.61378,121.89741,36.61391,121.89752,20,"ADT, LD, DP",KR,NA,3 diseased urchins,2021,S_purpuratus,858
Cannery Row,20210626,2,36.6138,121.89752,36.61392,121.89756,20,"RB, EC, KR",KR,NA,NA,2021,S_purpuratus,1249
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,20,"IH, PS",KR,NA,NA,2021,S_purpuratus,4139
Cannery Row,20210626,4,36.61407,121.89777,36.61425,121.89784,20,"AJH, EV",KR,NA,NA,2021,S_purpuratus,2622
Cannery Row,20210628,5,36.61426,121.89788,36.61443,121.89787,20,"AJH, EV, PS",KR,NA,NA,2021,S_purpuratus,1585
Cannery Row,20210628,6,36.61452,121.8977,36.61444,121.89789,20,"IH, EC, DP",IH,NA,5-10 m was mostly in a pool; 11 diseased urchins,2021,S_purpuratus,2889
China Rock,20210713,4,36.60576,121.95997,36.60559,121.96005,20,"LD, ADT",ADT,NA,NA,2021,S_purpuratus,6
China Rock,20210627,3,36.60605,121.95968,36.60595,121.95988,20,"DP,ADT,LD",LD,NA,NA,2021,S_purpuratus,76
Sea Palm,20210625,3,36.62809,121.92063,36.62818,121.92081,20,"KR, ADT, LD",EV,NA,NA,2021,S_purpuratus,2
China Rock,20210627,2,36.60607,121.95964,36.60624,121.95961,29,"KR,PS,EC",LD,NA,10-15 had one diseased Urchin,2021,S_purpuratus,1559
Sea Palm,20210625,2,36.62804,121.92047,36.62801,121.92026,20,"PS, EC, EV",EV,NA,NA,2021,S_purpuratus,478
China Rock,20210627,1,36.60627,121.95963,36.60643,121.95956,20,AJH,LD,NA,13.7-15 Underwater,2021,S_purpuratus,898
China Rock,20210713,5,36.60554,121.96017,36.60537,121.96011,20,"DP,KR,EV",LD,NA,NA,2021,S_purpuratus,17
China Rock,20210713,6,36.60529,121.96017,36.60515,121.96006,20,"PS,IH",LD,NA,NA,2021,S_purpuratus,48
Pescadero Point,20210726,6,36.56093,121.95362,36.56085,121.95341,20,"AH, TM, KR",ADT,NA,11 Diseased urchins,2021,S_purpuratus,4686
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,20,"IH,PS,EV",LD,NA,NA,2021,S_purpuratus,454
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,20,"DP,EC",LD,NA,"10-15 had Juv. Red Urchin, 2 6 legged bad stars one in 5-10 and one in 10-15",2021,S_purpuratus,126
Point Pinos,20210624,3,36.63803,121.93687,36.63819,121.93697,20,"EV,EC",LD,NA,"AJH completed 15-20, tide was comming in.",2021,S_purpuratus,678
Carmel Point,20210710,1,36.54432,121.93375,36.54414,121.93387,20,"AJH, KR, IH",EV,NA,NA,2021,S_purpuratus,979
Point Pinos,20210624,4,36.63837,121.93707,NA,NA,20,"PS,IH",LD,NA,NA,2021,S_purpuratus,837
Point Pinos,20210624,2,36.63791,121.93667,36.63801,121.93667,20,"KR,ADT",LD,NA,1 Diseased Urchin and 1 Blue Chiton,2021,S_purpuratus,507
Point Pinos,20210624,1,36.63766,121.93625,36.63775,121.93644,20,"DP,LD",LD,NA,NA,2021,S_purpuratus,196
